"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in EAC MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Technologies","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","05/11/2017","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_26fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017-26en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in EAC with PACE MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Card Systems","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","05/11/2017","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_28fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017-28en.pdf","11/04/2021","ANSSI-CC-2017/28-M01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_28-m01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in EAC with PACE MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Card Systems","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","05/11/2017","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_28fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017-28en.pdf","11/04/2021","Reassement report: ANSSI-CC-2017/28-S02","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_28-s02fr.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in EAC with PACE MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Card Systems","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","05/11/2017","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_28fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017-28en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in PACE MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Card Systems","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0","05/11/2017","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_29fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017-29en.pdf","04/11/2021","Reassessment report: ANSSI-CC-2017/29-S02","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_29-s02fr.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in PACE MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Card Systems","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0","05/11/2017","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_29fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017-29en.pdf","11/04/2021","ANSSI-CC-2017/29-M01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_29-m01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in PACE MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Card Systems","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0","05/11/2017","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_29fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017-29en.pdf","11/04/2021","Reassessment report: ANSSI-CC-2017/29-S02","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017_29-s02fr.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in PACE MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Card Systems","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0","05/11/2017","11/04/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_29fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017-29en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme JavaCard MultiApp V4.0 en configuration ouverte basée sur l’Operating System JLEP3 masquée sur le composant SLE78CLFX4000PH (M7892 G12)","Gemalto","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2010-03","03/08/2017","09/06/2027","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_07.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible2017_07en.pdf","09/06/2022","Reassessment report : ANSSI-CC-2017/07-S01","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2017-07_s01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme JavaCard MultiApp V4.0 en configuration ouverte basée sur l’Operating System JLEP3 masquée sur le composant SLE78CLFX4000PH (M7892 G12)","Gemalto","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2010-03","03/08/2017","09/06/2027","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_07.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible2017_07en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDeal PASS, version 2.0.1 - Application BAC","Safran Morpho","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","02/16/2017","01/18/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_05.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017_05.pdf","01/18/2021","Reassessment report: ANSSI-CC-2017/05-S02","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_05-S02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDeal PASS, version 2.0.1 - Application BAC","Safran Morpho","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","02/16/2017","01/18/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_05.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017_05.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDeal PASS, version 2.0.1 - Application EAC avec PACE","Safran Morpho","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","02/16/2017","01/18/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_06.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017_06.pdf","01/18/2021","Reassessment report: ANSSI-CC-2017/06-S02","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_06-S02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDeal PASS, version 2.0.1 - Application EAC avec PACE","Safran Morpho","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","02/16/2017","01/18/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2017_06.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2017_06.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","DMT-CBS-CE3D3 Family &#x28;DMT-CBS-CE3D3&#x2f;CC080&#x2f;CC048&#x29; Dual Interface smart card chips with HAL library, version 2.0","Datang Microelectronics Technology Co., Ltd &#x28;DMT&#x29;","NO","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","02/10/2017","","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-093 CR V1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/[09083][SERTIT-093][ST][0.3] ASE_DMT-CBS-CE3D3 Security Target Lite.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","DNIe-DSCF (dispositivo seguro de creación de firma) versión 3.0","FNMT-RCM","ES","EAL4+,AVA_VAN.5","PP_SSCD_PART2_V1.03,PP_SSCD_PART5_V1.0.1","02/03/2017","07/12/2023","http://commoncriteriaportal.org:443/files/epfiles/2014-39_inf-1766_v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/2014-39-st.pdf","07/12/2018","Mantenimiento del DNIe-DCCF (dispositivo cualificado de creacion de firma), version 3.0","http://commoncriteriaportal.org:443/files/epfiles/2017-26 INF-2389.pdf","http://commoncriteriaportal.org:443/files/epfiles/2017-26-ST_lite.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","DNIe-DSCF (dispositivo seguro de creación de firma) versión 3.0","FNMT-RCM","ES","EAL4+,AVA_VAN.5","PP_SSCD_PART2_V1.03,PP_SSCD_PART5_V1.0.1","02/03/2017","07/12/2023","http://commoncriteriaportal.org:443/files/epfiles/2014-39_inf-1766_v2.pdf","http://commoncriteriaportal.org:443/files/epfiles/2014-39-st.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","CEITEC ePassport Module, CTC21001, v1.0 &#x28;supporting BAC&#x29;","CEITEC S.A.","NO","EAL4+,ALC_DVS.2","MRTD_ICAO_BA_V1.10","01/17/2017","","http://commoncriteriaportal.org:443/files/epfiles/20170117 S-073 CR Ceitec BAC.pdf","http://commoncriteriaportal.org:443/files/epfiles/[STlite-BAC] CEITECSA 5.410.051 - ST-Lite ePassport Module BAC 3.0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","CEITEC ePassport Module, CTC21001, v1.0 &#x28;supporting EAC&#x29;","CEITEC S.A.","NO","EAL4+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","01/17/2017","","http://commoncriteriaportal.org:443/files/epfiles/20170117 S-080 CR Ceitec EAC.pdf","http://commoncriteriaportal.org:443/files/epfiles/[STlite-EAC] CEITECSA 5.410.052 - ST-Lite ePassport Module EAC 2.0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","HED Secure Smart Card Chip CIU9872B_01 C11 with IC Dedicated Software","CEC Huada Electronic Design Co., Ltd.","NO","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","11/25/2016","","http://commoncriteriaportal.org:443/files/epfiles/20161125 S-090 CR  v1.0 Huada.pdf","http://commoncriteriaportal.org:443/files/epfiles/Security Target-lite of CIU9872B_01 C11 Secure Smart Card Chip V1.1.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Feitian FT-JCOS v1.0&#x2f;0.106.13 running on Infineon M7892 B11","Feitian Technologies Co., Ltd.","NO","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2001-03-M01","11/22/2016","","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-091CR Feitian v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/[08250][FTJCOS][ST][V1.0.12]FTJCOS_Security_Target.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS Smart Meter Security Module Version 1.0 Release 1&#x2f;P60C144PVA","T-Systems International GMBH","DE","EAL4+,AVA_VAN.5","PP_SECURITYMODULEV2","11/18/2016","11/18/2026","http://commoncriteriaportal.org:443/files/epfiles/0957V2a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/0957V2b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","DMT-CBS-CE3D3 Family &#x28;DMT-CBS-CE3D3&#x2f;CC080&#x2f;CC048&#x29; Dual Interface smart card chips with HAL library version 1.0","Datang Microelectronics Technology Co., Ltd &#x28;DMT&#x29;","NO","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","","10/10/2016","","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-089 CR 1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/[08237][DMT-CBS-CE3D3_CC with HAL Library][ST Lite][0.9] ASE_DMT-CBS-CE3D3 Security Target Lite.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Mobile FeliCa OS 3.0 on S3CS9AB&#x2f;0114_5329","FeliCa Networks, Inc","NO","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.4","","09/05/2016","","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-082 CR 1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/[STP-S] F03S-ASEP01-E01-70.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Mobile FeliCa OS 3.0 on T6NE1&#x2f;0115_432B","FeliCa Networks, Inc","NO","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.4","","09/05/2016","","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-081 CR 1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/[STP-T] F03T-ASEP01-E01-70.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST31G480 A02 including optional cryptographic library NESLIB and optional technologies MIFARE DESFire EV1 and MIFARE Plus X","STMicroelectronics S.A.","FR","EAL5+,ADV_IMP.2,ADV_INT.3,ADV_TDS.5,ALC_CMC.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.3,ASE_TSS.2,ATE_COV.3,ATE_FUN.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","08/26/2016","09/27/2024","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_58fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible2016_58en.pdf","02/10/2017","ANSSI-CC-2016&#x2f;58-M01","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_58-M01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST31G480 A02 including optional cryptographic library NESLIB and optional technologies MIFARE DESFire EV1 and MIFARE Plus X","STMicroelectronics S.A.","FR","EAL5+,ADV_IMP.2,ADV_INT.3,ADV_TDS.5,ALC_CMC.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.3,ASE_TSS.2,ATE_COV.3,ATE_FUN.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","08/26/2016","09/27/2024","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_58fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible2016_58en.pdf","06/16/2017","ST31G480 A04 including optional cryptographic library NESLIB and optional technologies MIFARE DESFire EV1 and MIFARE Plus X","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2016_58-m02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST31G480 A02 including optional cryptographic library NESLIB and optional technologies MIFARE DESFire EV1 and MIFARE Plus X","STMicroelectronics S.A.","FR","EAL5+,ADV_IMP.2,ADV_INT.3,ADV_TDS.5,ALC_CMC.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.3,ASE_TSS.2,ATE_COV.3,ATE_FUN.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","08/26/2016","09/27/2024","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_58fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible2016_58en.pdf","07/06/2018","ST31G480 A05 &#xd;&#xa;including optional cryptographic library &#xd;&#xa;NESLIB and optional technologies MIFARE &#xd;&#xa;DESFire EV1 and MIFARE Plus X","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2016_58-m03.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST31G480 A02 including optional cryptographic library NESLIB and optional technologies MIFARE DESFire EV1 and MIFARE Plus X","STMicroelectronics S.A.","FR","EAL5+,ADV_IMP.2,ADV_INT.3,ADV_TDS.5,ALC_CMC.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.3,ASE_TSS.2,ATE_COV.3,ATE_FUN.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","08/26/2016","09/27/2024","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_58fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible2016_58en.pdf","09/27/2019","Reassessment report: ANSSI-CC-2016/58-S03","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_58-S03.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST31G480 A02 including optional cryptographic library NESLIB and optional technologies MIFARE DESFire EV1 and MIFARE Plus X","STMicroelectronics S.A.","FR","EAL5+,ADV_IMP.2,ADV_INT.3,ADV_TDS.5,ALC_CMC.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.3,ASE_TSS.2,ATE_COV.3,ATE_FUN.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","08/26/2016","09/27/2024","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_58fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible2016_58en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Feitian FT-JCOS v1.0&#x2f;0.106.13 running on Infineon M7892 B11","Feitian Technologies Co., Ltd.","NO","EAL4+,ALC_DVS.2,AVA_VAN.5","","06/27/2016","","http://commoncriteriaportal.org:443/files/epfiles/20160627_SERTIT-079_CR_1.pdf","http://commoncriteriaportal.org:443/files/epfiles/[08250][FTJCOS][ST][V1.0.11]FTJCOS_Security_Target.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Application Mobile PayPass 1.0.13vA.2.4 (S1133159, release B) sur plateforme UpTeq NFC3.2.2_Generic v1.0 sur composant ST33G1M2-F","Gemalto","FR","EAL4+,ALC_DVS.2,AVA_VAN.5","","06/01/2016","03/12/2024","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_31.pdf","http://commoncriteriaportal.org:443/files/epfiles/NFC322_MPP1-0-13vA-2-4_SecurityTarget_Lite.pdf","12/03/2019","Reassessment report: ANSSI-CC-2016/31-S03","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016-31_S03.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Application Mobile PayPass 1.0.13vA.2.4 (S1133159, release B) sur plateforme UpTeq NFC3.2.2_Generic v1.0 sur composant ST33G1M2-F","Gemalto","FR","EAL4+,ALC_DVS.2,AVA_VAN.5","","06/01/2016","03/12/2024","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016_31.pdf","http://commoncriteriaportal.org:443/files/epfiles/NFC322_MPP1-0-13vA-2-4_SecurityTarget_Lite.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Carte UpTeq NFC3.2.2_Generic v1.0 sur composant ST33G1M2-F","Gemalto &#x2f; STMicroelectronics","FR","EAL4+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2010-04","05/23/2016","03/31/2025","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016-22.pdf","http://commoncriteriaportal.org:443/files/epfiles/Cible-Lite-2016-22.pdf","03/31/2020","Reassessment report: ANSSI-CC-2016/22-S04","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2016-22_s04fr.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Carte UpTeq NFC3.2.2_Generic v1.0 sur composant ST33G1M2-F","Gemalto &#x2f; STMicroelectronics","FR","EAL4+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2010-04","05/23/2016","03/31/2025","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2016-22.pdf","http://commoncriteriaportal.org:443/files/epfiles/Cible-Lite-2016-22.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","THD88&#x2f;M2064 Secure Microcontroller with Crypto Library","Tongfang Microelectronics Company Co., LTD.","NO","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","04/14/2016","","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-086 CR v 1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/[08760][THD88][ST_Lite][V1.4]ST0084 for Tong Fang THD88-M2064 v1.4.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleur sécurisé ST33G1M2 révision F, Firmware révisions 9 et A, incluant optionnellement la bibliothèque cryptographique Neslib versions 4.1 et 4.1.1 et la bibliothèque MIFARE4Mobile version 2.1.0","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","01/08/2016","12/12/2023","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-61.pdf","http://commoncriteriaportal.org:443/files/epfiles/2015_61 - Cible publique.pdf","03/17/2016","ANSSI-CC-2014&#x2f;46-M01","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2014_46-M01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleur sécurisé ST33G1M2 révision F, Firmware révisions 9 et A, incluant optionnellement la bibliothèque cryptographique Neslib versions 4.1 et 4.1.1 et la bibliothèque MIFARE4Mobile version 2.1.0","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","01/08/2016","12/12/2023","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-61.pdf","http://commoncriteriaportal.org:443/files/epfiles/2015_61 - Cible publique.pdf","01/18/2018","Microcontr&ocirc;leur s&eacute;curis&eacute; ST33G1M2 r&eacute;vision &#xd;&#xa;F, Firmware r&eacute;visions 9 et A, incluant &#xd;&#xa;optionnellement la biblioth&egrave;que &#xd;&#xa;cryptographique Neslib versions 4.1 e&#xd;&#xa;t 4.1.1 et &#xd;&#xa;la biblioth&egrave;que MIFARE4Mobile 2.1.0","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2015_61-m01fr.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleur sécurisé ST33G1M2 révision F, Firmware révisions 9 et A, incluant optionnellement la bibliothèque cryptographique Neslib versions 4.1 et 4.1.1 et la bibliothèque MIFARE4Mobile version 2.1.0","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","01/08/2016","12/12/2023","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-61.pdf","http://commoncriteriaportal.org:443/files/epfiles/2015_61 - Cible publique.pdf","12/12/2018","Reassessment report: ANSSI-CC-2015/61-S03","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2015_61-s03.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleur sécurisé ST33G1M2 révision F, Firmware révisions 9 et A, incluant optionnellement la bibliothèque cryptographique Neslib versions 4.1 et 4.1.1 et la bibliothèque MIFARE4Mobile version 2.1.0","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","01/08/2016","12/12/2023","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015-61.pdf","http://commoncriteriaportal.org:443/files/epfiles/2015_61 - Cible publique.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","THD88&#x2f;M2064 Secure Microcontroller With Crypto Library","Beijing Tongfang Microelectronics Co., Ltd.","NO","EAL4+,ALC_FLR.2,ATE_DPT.2,AVA_VAN.5","","12/09/2015","","http://commoncriteriaportal.org:443/files/epfiles/20160608_S-074_CR_v.2.0_Tongfang.pdf","http://commoncriteriaportal.org:443/files/epfiles/[08450][THD88][ST Lite][V1.1] THD88-M2064 EAL4+ ST_Lite.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleur SAMSUNG S3FT9FA révision 0","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","09/15/2015","04/24/2025","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_42fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible_2015_42.pdf","04/24/2020","Reassessment report ANSSI-CC-2015/42-S05","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2015-42-s05.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleur SAMSUNG S3FT9FA révision 0","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","09/15/2015","04/24/2025","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_42fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/ANSSI_cible_2015_42.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","JREM MN67S150-D Contactless Smart Card IC chip with fast processing function for transport","JR EAST MECHATRONICS CO., LTD.","NL","EAL6+,ASE_TSS.2","","06/04/2015","06/04/2025","http://commoncriteriaportal.org:443/files/epfiles/[CR] NSCIB-CC-10-30076-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/[STP] F31-STP-E01-70.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs SAMSUNG S3FT9MD etS3FT9MC Revision 1","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","03/24/2015","02/15/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_12.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2015-12_LITE.pdf","02/15/2021","Reassessment report: ANSSI-CC-2015/12-S06","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_12-S06.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs SAMSUNG S3FT9MD etS3FT9MC Revision 1","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","03/24/2015","02/15/2026","http://commoncriteriaportal.org:443/files/epfiles/ANSSI-CC-2015_12.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi_cible_2015-12_LITE.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS Smart Meter Security Module Version 1.0 Release 1&#x2f;P60C144PVA","T-Systems International GMBH","DE","EAL4+,AVA_VAN.5","PP_SECURITYMODULEV2","02/09/2015","02/10/2025","http://commoncriteriaportal.org:443/files/epfiles/0957a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/0957b_pdf.pdf","","","",""
