id,category,name,manufacturer,scheme,assurance_level,protection_profile,certification_id,certification_date,archived_date,certification_report_url,security_target_url,maintenance_date,maintenance_title,maintenance_report,maintenance_st,conformance_claim,cctl,remark
1607,"Other Devices and Systems","secunet konnektor 2.0.0, Version 5.1.2:2.0.0","Secunet Security Networks AG",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",NULL,NULL,09/09/2022,09/08/2027,http://commoncriteriaportal.org:443/files/epfiles/1201a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1201b_pdf.pdf,11/21/2022,"secunet konnektor 2.0.0, Version 5.1.3:2.0.0",http://commoncriteriaportal.org:443/files/epfiles/1044V6MA1a_pdf.pdf,NULL,NULL,NULL,NULL
1608,"Other Devices and Systems","secunet konnektor 2.0.0, Version 5.1.2:2.0.0","Secunet Security Networks AG",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",NULL,NULL,09/09/2022,09/08/2027,http://commoncriteriaportal.org:443/files/epfiles/1201a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1201b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1609,"Other Devices and Systems","secunet konnektor 2.0.0, Version 5.1.2:2.0.0","Secunet Security Networks AG",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",BSI-CC-PP-0097-V2-2020,NULL,09/09/2022,09/08/2027,http://commoncriteriaportal.org:443/files/epfiles/1044V6a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1044V6b_pdf.pdf,11/22/2022,"secunet Konnektor 2.0.0, Version 5.1.3:2.0.0",http://commoncriteriaportal.org:443/files/epfiles/1201ma1a_pdf.pdf,NULL,NULL,NULL,NULL
1610,"Other Devices and Systems","secunet konnektor 2.0.0, Version 5.1.2:2.0.0","Secunet Security Networks AG",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",BSI-CC-PP-0097-V2-2020,NULL,09/09/2022,09/08/2027,http://commoncriteriaportal.org:443/files/epfiles/1044V6a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1044V6b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1611,"Other Devices and Systems","secunet konnektor 2.1.0, Version 5.1.2:2.1.0","Secunet Security Networks AG",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",BSI-CC-PP-0097-V2-2020,NULL,09/09/2022,09/08/2027,http://commoncriteriaportal.org:443/files/epfiles/1128V5a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1128V5b_pdf.pdf,11/21/2022,"secunet konnektor 2.1.0, Version 5.1.2:2.1.0",http://commoncriteriaportal.org:443/files/epfiles/1128V5MA1a_pdf.pdf,NULL,NULL,NULL,NULL
1612,"Other Devices and Systems","secunet konnektor 2.1.0, Version 5.1.2:2.1.0","Secunet Security Networks AG",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",BSI-CC-PP-0097-V2-2020,NULL,09/09/2022,09/08/2027,http://commoncriteriaportal.org:443/files/epfiles/1128V5a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1128V5b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1613,"Other Devices and Systems","secunet konnektor 2.1.0, Version 5.1.2:2.1.0","Secunet Security Networks AG",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3",NULL,NULL,09/09/2022,09/08/2027,http://commoncriteriaportal.org:443/files/epfiles/1202a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1202b_pdf.pdf,11/21/2022,"secunet konnektor 2.1.0, Version 5.1.3:2.1.0",http://commoncriteriaportal.org:443/files/epfiles/1202MA1a_pdf.pdf,NULL,NULL,NULL,NULL
1614,"Other Devices and Systems","secunet konnektor 2.1.0, Version 5.1.2:2.1.0","Secunet Security Networks AG",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3",NULL,NULL,09/09/2022,09/08/2027,http://commoncriteriaportal.org:443/files/epfiles/1202a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1202b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1615,"Other Devices and Systems","VMware ESXi 7.0 Update 3d",VMware,US,NULL,"MOD_SV_V1.1,PKG_TLS_V1.1,PP_BASE_VIRTUALIZATION_V1.1",NULL,09/06/2022,09/06/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11249-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11249-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1616,"Other Devices and Systems","Aruba Virtual Intranet Access (VIA) Client v4.3","Aruba, a Hewlett Packard Enterprise Company",US,NULL,"MOD_VPNC_V2.3,PP_APP_V1.3",NULL,08/31/2022,08/31/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11303-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11303-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1617,"Other Devices and Systems","Citrix Hypervisor ® 8.2 LTSR Premium Edition (CU1)","Citrix Systems, Inc.",CA,"EAL2+,ALC_FLR.2",NULL,NULL,08/23/2022,08/23/2027,"http://commoncriteriaportal.org:443/files/epfiles/580-LSS CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/580-LSS ST v1.9.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1618,"Other Devices and Systems","Cisco ASA 9.16 on Firepower 4100 and 9300 Security Appliances","Cisco Systems, Inc.",US,NULL,"CPP_ND_V2.2E,MOD_CPP_FW_V1.4E,MOD_VPNGW_V1.1",NULL,08/12/2022,08/12/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11256-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11256-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1619,"Other Devices and Systems","Guardian-CCS Blockchain Secure Authentication (BSA) v1.0.24","FNS (M) Sdn Bhd",MY,EAL2,NULL,NULL,08/12/2022,08/12/2027,http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C127-CR-v1.1.pdf,"http://commoncriteriaportal.org:443/files/epfiles/FNS - Guardian - CCS Blockchain Secure Authentication (BSA) Security Target - 1.2.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1620,"Other Devices and Systems","KoCoBox MED+ Konnektor, Version 4.2.22","KoCo Connector GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3",NULL,NULL,08/12/2022,08/11/2027,http://commoncriteriaportal.org:443/files/epfiles/1068V3a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1068V3b_pdf.pdf,09/12/2022,"KoCoBox MED+ Konnektor, Version 4.2.24",http://commoncriteriaportal.org:443/files/epfiles/1068V3MA01a.pdf,http://commoncriteriaportal.org:443/files/epfiles/1068V3MA01b.pdf,NULL,NULL,NULL
1621,"Other Devices and Systems","KoCoBox MED+ Konnektor, Version 4.2.22","KoCo Connector GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3",NULL,NULL,08/12/2022,08/11/2027,http://commoncriteriaportal.org:443/files/epfiles/1068V3a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1068V3b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1622,"Other Devices and Systems","KoCoBox MED+ Netzkonnektor, Version 4.2.22","KoCo Connector GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",BSI-CC-PP-0097-V2-2020,NULL,08/12/2022,08/11/2027,http://commoncriteriaportal.org:443/files/epfiles/1067V3a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1067V3b_pdf.pdf,09/12/2022,"KoCoBox MED+ Netzkonnektor, Version 4.2.24",http://commoncriteriaportal.org:443/files/epfiles/1067V3MA01a.pdf,http://commoncriteriaportal.org:443/files/epfiles/1067V3MA01b.pdf,NULL,NULL,NULL
1623,"Other Devices and Systems","KoCoBox MED+ Netzkonnektor, Version 4.2.22","KoCo Connector GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",BSI-CC-PP-0097-V2-2020,NULL,08/12/2022,08/11/2027,http://commoncriteriaportal.org:443/files/epfiles/1067V3a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1067V3b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1624,"Other Devices and Systems","Jabra Engage 65 and Jabra Engage 75 with Embedded Software v4.2.0","GN Audio A/S",AU,"EAL2,ALC_FLR.1",NULL,NULL,08/04/2022,08/04/2027,http://commoncriteriaportal.org:443/files/epfiles/AISEP-CC-CR-2022-EFT-T025-Jabra65-75-4.2.0_CR-V1.0.pdf,"http://commoncriteriaportal.org:443/files/epfiles/EFT-T025 Jabra Engage 65 and Engage 75 With Embedded Software v4.2.0 Security Target Rev. M.pdf",05/03/2023,"Jabra Engage 65 and Jabra Engage 75 with Embedded Software v5.11.0",http://commoncriteriaportal.org:443/files/epfiles/AISEP-CC-MR-2023-AAC093_Jabra_65_75_ESWv5.11.0.pdf,"http://commoncriteriaportal.org:443/files/epfiles/Jabra Engage 65 and Engage 75 With Embedded Software v5.11.0 Security Target Rev. O.pdf",NULL,NULL,NULL
1625,"Other Devices and Systems","Jabra Engage 65 and Jabra Engage 75 with Embedded Software v4.2.0","GN Audio A/S",AU,"EAL2,ALC_FLR.1",NULL,NULL,08/04/2022,08/04/2027,http://commoncriteriaportal.org:443/files/epfiles/AISEP-CC-CR-2022-EFT-T025-Jabra65-75-4.2.0_CR-V1.0.pdf,"http://commoncriteriaportal.org:443/files/epfiles/EFT-T025 Jabra Engage 65 and Engage 75 With Embedded Software v4.2.0 Security Target Rev. M.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1626,"Other Devices and Systems","NetApp StorageGRID 11.5","NetApp, Inc.",CA,"EAL2+,ALC_FLR.1",NULL,NULL,07/19/2022,07/19/2027,"http://commoncriteriaportal.org:443/files/epfiles/565-LSS CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/565-LSS ST v1.1.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1627,"Other Devices and Systems","Cisco AnyConnect Secure Mobility Client v4.10 for Red Hat Enterprise Linux 8.1","Cisco Systems, Inc.",US,NULL,"MOD_VPNC_V2.3,PP_APP_V1.3",NULL,07/18/2022,07/18/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11289-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11289-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1628,"Other Devices and Systems","Cisco Adaptive Security Appliances (ASA) 9.16 on Firepower 1000 and 2100 Series","Cisco Systems, Inc.",US,NULL,"CPP_ND_V2.2E,MOD_CPP_FW_V1.4E,MOD_VPNGW_V1.1",NULL,07/15/2022,07/15/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11255-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11255-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1629,"Other Devices and Systems","Cisco Adaptive Security Appliances (ASA) 5500-X, Industrial Security Appliances (ISA) 3000 and Adaptive Security Appliances Virtual (ASAv) Version 9.16","Cisco Systems, Inc.",US,NULL,"CPP_ND_V2.2E,MOD_CPP_FW_V1.4E,MOD_VPNGW_V1.1",NULL,07/14/2022,07/14/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11257-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11257-st.pdf,05/10/2023,"Cisco Adaptive Security Appliances (ASA) 5500-X, Industrial Security Appliances (ISA) 3000 and ASA Virtual (ASAv) Version 9.16",http://commoncriteriaportal.org:443/files/epfiles/st_vid11257-add1.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11257-st.pdf,NULL,NULL,NULL
1630,"Other Devices and Systems","Cisco Adaptive Security Appliances (ASA) 5500-X, Industrial Security Appliances (ISA) 3000 and Adaptive Security Appliances Virtual (ASAv) Version 9.16","Cisco Systems, Inc.",US,NULL,"CPP_ND_V2.2E,MOD_CPP_FW_V1.4E,MOD_VPNGW_V1.1",NULL,07/14/2022,07/14/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11257-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11257-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1631,"Other Devices and Systems","Hikvision Network Camera Series DS-2CD5, DS-2CD7 and PTZ version 1.1","Hangzhou HIKVISION Digital Technology Co.",ES,"EAL3+,ALC_FLR.2",NULL,NULL,06/30/2022,06/30/2027,http://commoncriteriaportal.org:443/files/epfiles/2020-72-INF-3810.pdf,http://commoncriteriaportal.org:443/files/epfiles/2020-72-ST.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1632,"Other Devices and Systems","IBM PowerVM FW950.30 and FW1010.10 with VIOS 3.1.3.10 operating on IBM Power Systems POWER9 and Power10 hardware","IBM Corporation",IT,"EAL2+,ALC_FLR.2",NULL,NULL,06/27/2022,06/27/2027,http://commoncriteriaportal.org:443/files/epfiles/cr_powervm_313_v1.0_en.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_powervm_313_v1.0.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1633,"Other Devices and Systems","LG App Monitoring Security Solution V1.0 for webOS TV","LG ELECTRONICS Co., Ltd.",KR,EAL2,NULL,NULL,06/23/2022,06/23/2027,"http://commoncriteriaportal.org:443/files/epfiles/[KECS-CR-22-32] LG App Monitoring Security Solution V1.0 for webOS TV Certification Report.pdf","http://commoncriteriaportal.org:443/files/epfiles/LG App Monitoring Security Solution V1.0 for webOS TV Security Target V1.7.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1634,"Other Devices and Systems","Scalar and Express P-series SSD, version NV.R1900","Novachips Co., Ltd.",US,NULL,"CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E",NULL,06/10/2022,06/10/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11262-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11262-st.pdf,03/31/2023,"Scalar and Express P-series SSD, version NV.R1900",http://commoncriteriaportal.org:443/files/epfiles/st_vid11262-add1.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11262-st.pdf,NULL,NULL,NULL
1635,"Other Devices and Systems","Scalar and Express P-series SSD, version NV.R1900","Novachips Co., Ltd.",US,NULL,"CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E",NULL,06/10/2022,06/10/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11262-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11262-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1636,"Other Devices and Systems","Samsung Knox File Encryption 1.4","Samsung Electronics Co., Ltd.",US,NULL,"MOD_FE_V1.0,PP_APP_V1.3",NULL,06/09/2022,06/09/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11263-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11263-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1637,"Other Devices and Systems","Argrace IoT Security Communication Module (BLE+ Wi-Fi) v2.0A-009","Hangzhou Yaguan Technology Co. Ltd (HYT)",MY,"EAL2+,ALC_FLR.1",NULL,NULL,06/07/2022,06/07/2027,http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C126-CR-v1.pdf,"http://commoncriteriaportal.org:443/files/epfiles/ST of Argrace IoT Security Communication Module (BLE + Wi-Fi)_v1.5.0422.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1638,"Other Devices and Systems","MTCOS Smart Tachograph V2 / SLE78CFX4000P","MaskTech International GmbH",DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.2",TC_PP,NULL,06/03/2022,06/03/2027,http://commoncriteriaportal.org:443/files/epfiles/1088a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1088b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1639,"Other Devices and Systems","Vertiv CYBEX SC845DPH, SC945DPH, SC845DPHC, SC945DPHC, SCM145DPH, SCM185DPH, SC985DPH, SCMV245DPH, SCMV285DPH Firmware Version 44444-E7E7 Peripheral Sharing Devices","Vertiv IT Systems",US,NULL,"MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,MOD_VI_V1.0,PP_PSD_V4.0",NULL,06/03/2022,06/03/2027,http://commoncriteriaportal.org:443/files/epfiles/st_vid11288-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11288-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1640,"Other Devices and Systems","Archer Suite v6.9.1.2 with the Archer IRM Mobile V1.4","RSA Security LLC",MY,"EAL2+,ALC_FLR.2",NULL,NULL,05/17/2022,05/17/2027,http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C124-CR-v1.pdf,"http://commoncriteriaportal.org:443/files/epfiles/Archer Suite v6.9.1.2 with the Archer IRM Mobile V1.4 _ST_v1.0-final.pdf",03/02/2023,"Archer Suite v6.11 with the Archer IRM Mobile V1.4",http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-M019-AMR-v1.pdf,"http://commoncriteriaportal.org:443/files/epfiles/RSA Archer 6.11.0.3 ST v1.0.pdf",NULL,NULL,NULL
1641,"Other Devices and Systems","Archer Suite v6.9.1.2 with the Archer IRM Mobile V1.4","RSA Security LLC",MY,"EAL2+,ALC_FLR.2",NULL,NULL,05/17/2022,05/17/2027,http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C124-CR-v1.pdf,"http://commoncriteriaportal.org:443/files/epfiles/Archer Suite v6.9.1.2 with the Archer IRM Mobile V1.4 _ST_v1.0-final.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1642,"Other Devices and Systems","Adder AVS-4112, AVS-2112, AVS-4114, AVS-4214, AVS-2114, AVS-2214, AVS-4128, AVS-4124, AVS-1124, AVS-4224 Firmware Version 44404-E7E7 Peripheral Sharing Devices","Adder Technology Ltd",CA,NULL,"MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0",NULL,04/20/2022,04/20/2027,"http://commoncriteriaportal.org:443/files/epfiles/539-EWA CR Adder CFG1.pdf","http://commoncriteriaportal.org:443/files/epfiles/539-EWA ST v1.5.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1643,"Other Devices and Systems","RISE Konnektor V5.0","Research Industrial Systems Engineering &#x28;RISE&#x29; Forschungs-, Entwicklungs- und Gro&szlig;projekteberatung GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3",NULL,NULL,04/14/2022,04/14/2027,http://commoncriteriaportal.org:443/files/epfiles/1189a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1189b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1644,"Other Devices and Systems","Seagate Secure® TCG Opal and Enterprise SSC Self-Encrypting Drives","Seagate Technology, LLC",US,NULL,CPP_FDE_EE_V2.0E,NULL,04/07/2022,04/27/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-st.pdf,01/20/2023,"Seagate Secure® TCG Opal and Enterprise SSC Self-Encrypting Drives",http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-add1.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-st.pdf,NULL,NULL,NULL
1645,"Other Devices and Systems","Seagate Secure® TCG Opal and Enterprise SSC Self-Encrypting Drives","Seagate Technology, LLC",US,NULL,CPP_FDE_EE_V2.0E,NULL,04/07/2022,04/27/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-st.pdf,04/27/2023,"Seagate Secure® TCG Opal and Enterprise SSC Self-Encrypting Drives",http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-add2.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-st-2.pdf,NULL,NULL,NULL
1646,"Other Devices and Systems","Seagate Secure® TCG Opal and Enterprise SSC Self-Encrypting Drives","Seagate Technology, LLC",US,NULL,CPP_FDE_EE_V2.0E,NULL,04/07/2022,04/27/2024,http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11248-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1647,"Other Devices and Systems","Huawei MindSpore 1.2","Huawei Technologies Co., Ltd.",NL,"EAL2+,ALC_FLR.2",NULL,NULL,04/04/2022,04/04/2027,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0415138-CR-1.0.pdf,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0415138-ST_v1.3.6.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1648,"Other Devices and Systems","KoCoBox MED+ Konnektor, Version 4.2.16","KoCo Connector GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3",NULL,NULL,03/16/2022,03/15/2027,http://commoncriteriaportal.org:443/files/epfiles/1068V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1068V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1649,"Other Devices and Systems","KoCoBox MED+ Netzkonnektor, 2.3.24","KoCo Connector GmbH",DE,"EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5",BSI-CC-PP-0097-V2-2020,NULL,03/16/2022,03/16/2027,http://commoncriteriaportal.org:443/files/epfiles/1067V2a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1067V2b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1650,"Other Devices and Systems","Distributed Services Platform v1.28.0-E-96","Pensando Systems, Inc.",IT,"EAL2+,ALC_FLR.2",NULL,NULL,03/11/2022,03/11/2027,http://commoncriteriaportal.org:443/files/epfiles/cr_pensando_dsp128_v1.0_en.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_pensando_dsp128_v0.6.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1651,"Other Devices and Systems","ATEN Secure KVM Switch Series (CAC Models)","ATEN International Co., LTD",US,NULL,"MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,MOD_VI_V1.0,PP_PSD_V4.0",NULL,03/10/2022,03/10/2027,http://commoncriteriaportal.org:443/files/epfiles/st_vid11221-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11221-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1652,"Other Devices and Systems","ATEN Secure KVM Switch Series (Non-CAC Models)","ATEN International Co., LTD",US,NULL,"MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0",NULL,03/10/2022,03/10/2027,http://commoncriteriaportal.org:443/files/epfiles/st_vid11222-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11222-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1653,"Other Devices and Systems","IOGEAR Secure KVM Switch Series (CAC Models)",IOGEAR,US,NULL,"MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,MOD_VI_V1.0,PP_PSD_V4.0",NULL,03/10/2022,03/10/2027,http://commoncriteriaportal.org:443/files/epfiles/st_vid11223-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11223-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1654,"Other Devices and Systems","IOGEAR Secure KVM Switch Series (Non-CAC Models)",IOGEAR,US,NULL,"MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0",NULL,03/10/2022,03/10/2027,http://commoncriteriaportal.org:443/files/epfiles/st_vid11224-vr.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_vid11224-st.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1655,"Other Devices and Systems","CONEXA 3.0 Version 1.3","Theben AG",DE,"EAL4+,ALC_FLR.2,AVA_VAN.5",SMARTMETERGATEWAYPP_V1.3,NULL,03/08/2022,03/07/2030,http://commoncriteriaportal.org:443/files/epfiles/0918V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0918V4b_pdf.pdf,03/30/2022,"CONEXA 3.0 Version 1.3, Software: v3.60.1-cc, Hardware: HW V01.00",http://commoncriteriaportal.org:443/files/epfiles/0918V4ma1a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0918V4ma1b_pdf.pdf,NULL,NULL,NULL
1656,"Other Devices and Systems","CONEXA 3.0 Version 1.3","Theben AG",DE,"EAL4+,ALC_FLR.2,AVA_VAN.5",SMARTMETERGATEWAYPP_V1.3,NULL,03/08/2022,03/07/2030,http://commoncriteriaportal.org:443/files/epfiles/0918V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0918V4b_pdf.pdf,06/15/2022,"CONEXA 3.0 Version 1.3, SW: v3.60.1-cc, HW: V01.00",http://commoncriteriaportal.org:443/files/epfiles/0918V4ma2a_pdf.pdf,NULL,NULL,NULL,NULL
1657,"Other Devices and Systems","CONEXA 3.0 Version 1.3","Theben AG",DE,"EAL4+,ALC_FLR.2,AVA_VAN.5",SMARTMETERGATEWAYPP_V1.3,NULL,03/08/2022,03/07/2030,http://commoncriteriaportal.org:443/files/epfiles/0918V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0918V4b_pdf.pdf,08/02/2022,"CONEXA 3.0 Version 1.3, Software: v3.60.4-cc, 
Hardware: HW V01.00",http://commoncriteriaportal.org:443/files/epfiles/0918V4ma3a_pdf.pdf,NULL,NULL,NULL,NULL
1658,"Other Devices and Systems","CONEXA 3.0 Version 1.3","Theben AG",DE,"EAL4+,ALC_FLR.2,AVA_VAN.5",SMARTMETERGATEWAYPP_V1.3,NULL,03/08/2022,03/07/2030,http://commoncriteriaportal.org:443/files/epfiles/0918V4a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/0918V4b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
